Have you Heard of Mishka's in Downtown Davis?,UC Davis student?,Class Standing,Home Address,How often visit coffee shops?,Do you go to a coffee shop to,What do you like to see at a coffee shop?,how often do you get coffee to go?,likeliness to use mobile app,Preffered Coffee Shop,How often do you go to Mishka's?,What are the top problems you have with Mishka's? (Select up to 3),What top improvements would you most like to see at Mishka's? (Select up to 3),Mishka’s quality of drinks meets my standards,Mishka’s provides a variety of drinks and pastries,good dietary preferences,Mishka's fair pricing,Mishka's is convenient,Mishkas has good seating,Mishka’s has customizable options,Mishka’s sales and advertisements influence my visits
,No,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,
No,Yes,Freshman,Downtown Davis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,5th year or higher,Downtown Davis,Never,,,,,,,,,,,,,,,,
,,,,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Senior,East Davis,Rarely; once or twice a month,hang out with friends,Great Prices;Good Study Area;Quiet atmosphere;Great Coffee,About half the time,Neither likely nor unlikely,Philz,I've only gone a couple times,The products I want are not available in Mishka’s;Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying;Add more drinks to the menu;Create a rewards program for frequent customers,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat agree,Neither agree nor disagree
Yes; I go often,Yes,Senior,North Davis,A couple times a week,study alone;study with friends;hang out with friends,Great Prices;Good Study Area;Great Coffee,Rarely,Slightly unlikely,Mishka's,About once a week,Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat comfortable,Strongly agree,Neither agree nor disagree
Yes; I go often,Yes,Junior,Downtown Davis,A couple times a week,study alone;study with friends;grab coffee to go,Great Prices;Rewards Program;Good Study Area;Quiet atmosphere;Great Coffee,Most of the time,Very likely,Mishka's,About once a week,Find a better price in other coffee shops;Wifi is slow,Add more tables dedicated to studying;Create a mobile app;Improve service,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Extremely comfortable,Strongly agree,Somewhat disagree
Yes; but I've only gone a couple times,Yes,Senior,North Davis,A couple times a week,grab coffee to go;hang out with friends,Great Prices;Good Study Area;Great Coffee,About half the time,Slightly unlikely,Mishka's,I've only gone a couple times,Find a better price in other coffee shops,Lower the prices,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat comfortable,Strongly agree,Neither agree nor disagree
Yes; but I've only gone a couple times,Yes,Senior,Downtown Davis,A couple times a week,study alone;grab coffee to go,Great Prices;Good Study Area;Fast Service;Quiet atmosphere;Great Coffee,About half the time,Slightly unlikely,Other,I've only gone a couple times,Find a better price in other coffee shops;Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying;Lower the prices;Improve service,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree
Yes; but I've only gone a couple times,Yes,Senior,East Davis,A couple times a week,grab coffee to go,Mobile App;Great Prices;Rewards Program;Good Study Area;Fast Service;Great Coffee,Most of the time,Neither likely nor unlikely,Starbucks,I've only gone a couple times,Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying;Create a rewards program for frequent customers,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Strongly agree,Neither agree nor disagree
,,,,Never,,,,,,,,,,,,,,,,
,,,,Never,,,,,,,,,,,,,,,,
